mirID	logFC	unshrunk.logFC	logCPM	PValue
dme-miR-312-5p_MIMAT0020838 	44.2115436258003	44.2925847647577	-1.60816099058913	3.72756804141239e-32
dme-miR-313-3p_MIMAT0000405 	43.0580612972208	43.1110432144492	-1.17854424322598	1.65667507156307e-31
dme-miR-313-5p_MIMAT0020839 	43.9828941365625	44.0508839919338	-1.61515091822654	1.95006819817515e-32
dme-miR-2498-5p_MIMAT0012210 	51.7969738232448	53.4740399973306	-3.32111614414528	5.72403512814055e-36
dme-miR-2498-3p_MIMAT0012211 	52.922326687168	55.064873942265	-3.43208021105018	4.15297392644076e-38
dme-miR-991-3p_MIMAT0005509 	39.4106282359491	39.4241610434785	0.326753502825959	1.44135145014797e-33
dme-miR-991-5p_MIMAT0020890 	54.9038781827184	288539008.177793	-3.52037075777795	1
dme-miR-992-3p_MIMAT0005510 	53.634385660542	144269531.041411	-3.46153351467508	9.06884542894032e-26
dme-miR-992-5p_MIMAT0020891 	54.9038781827184	288539008.177793	-3.52037075777795	1
dme-miR-7-5p_MIMAT0000112 	19.9548876607554	19.9549037845907	9.98226566284135	5.62273997451345e-29
dme-miR-7-3p_MIMAT0020790 	32.7215286085341	32.7228523439617	3.58102240005644	2.40481986522875e-44
dme-miR-9376-5p_MIMAT0035215 	51.8219089831729	53.0746990755232	-3.35181147537892	2.69902927353483e-36
dme-miR-9376-3p_MIMAT0035216 	48.9181092979232	49.3278048739488	-2.97398297825106	3.43104145378478e-31
dme-miR-4939-3p_MIMAT0020145 	54.9038781827184	288539008.177793	-3.52037075777795	1
dme-miR-4979-5p_MIMAT0020211 	54.9038781827184	288539008.177793	-3.52037075777795	1
